"icao","tipo_reporte","semana","especies_list","contagem"
"SBAN","avistamento",20,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",5
"SBAN","avistamento",21,"Seriema (Cariama cristata)",1
"SBAN","avistamento",22,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Quero-quero/tetéu (Vanellus chilensis)",2
"SBAN","avistamento",23,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",24,"",0
"SBAN","avistamento",25,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",26,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Seriema (Cariama cristata),Urubus / Família Cathartidae",3
"SBAN","avistamento",27,"0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",5
"SBAN","avistamento",28,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",7
"SBAN","avistamento",29,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada",4
"SBAN","avistamento",30,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Seriema (Cariama cristata)",4
"SBAN","avistamento",31,"",0
"SBAN","avistamento",32,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",33,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAN","avistamento",34,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada",2
"SBAN","avistamento",35,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada",7
"SBAN","avistamento",36,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",37,"Seriema (Cariama cristata),0 Não identificada",2
"SBAN","avistamento",38,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Seriema (Cariama cristata)",5
"SBAN","avistamento",39,"",0
"SBAN","avistamento",40,"Urubus / Família Cathartidae,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",4
"SBAN","avistamento",41,"Urubus / Família Cathartidae,Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",3
"SBAN","avistamento",42,"0 Não identificada",1
"SBAN","avistamento",43,"Seriema (Cariama cristata)",1
"SBAN","avistamento",44,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",2
"SBAN","avistamento",45,"",0
"SBAN","avistamento",46,"",0
"SBAN","avistamento",47,"",0
"SBAN","avistamento",48,"",0
"SBAN","avistamento",49,"",0
"SBAN","avistamento",50,"",0
"SBAN","avistamento",51,"",0
"SBAN","avistamento",52,"",0
"SBAN","avistamento",53,"",0
"SBAN","colisão",1,"",0
"SBAN","colisão",2,"",0
"SBAN","colisão",3,"",0
"SBAN","colisão",4,"",0
"SBAN","colisão",5,"",0
"SBAN","colisão",6,"",0
"SBAN","colisão",7,"",0
"SBAN","colisão",8,"",0
"SBAN","colisão",9,"",0
"SBAN","colisão",10,"",0
"SBAN","colisão",11,"",0
"SBAN","colisão",12,"Coruja -buraqueira (Athene cunicularia)",1
"SBAN","colisão",13,"",0
"SBAN","colisão",14,"",0
"SBAN","colisão",15,"",0
"SBAN","colisão",16,"",0
"SBAN","colisão",17,"Coruja -buraqueira (Athene cunicularia)",1
"SBAN","colisão",18,"",0
"SBAN","colisão",19,"0 Não identificada",1
"SBAN","colisão",20,"",0
"SBAN","colisão",21,"",0
"SBAN","colisão",22,"",0
"SBAN","colisão",23,"",0
"SBAN","colisão",24,"",0
"SBAN","colisão",25,"",0
"SBAN","colisão",26,"",0
"SBAN","colisão",27,"",0
"SBAN","colisão",28,"",0
"SBAN","colisão",29,"0 Não identificada",1
"SBAN","colisão",30,"Seriema (Cariama cristata)",1
"SBAN","colisão",31,"",0
"SBAN","colisão",32,"",0
"SBAN","colisão",33,"",0
"SBAN","colisão",34,"",0
"SBAN","colisão",35,"",0
"SBAN","colisão",36,"",0
"SBAN","colisão",37,"",0
"SBAN","colisão",38,"",0
"SBAN","colisão",39,"",0
"SBAN","colisão",40,"",0
"SBAN","colisão",41,"",0
"SBAN","colisão",42,"",0
"SBAN","colisão",43,"Seriema (Cariama cristata),Seriema (Cariama cristata)",2
"SBAN","colisão",44,"",0
"SBAN","colisão",45,"",0
"SBAN","colisão",46,"",0
"SBAN","colisão",47,"",0
"SBAN","colisão",48,"",0
"SBAN","colisão",49,"",0
"SBAN","colisão",50,"",0
"SBAN","colisão",51,"",0
"SBAN","colisão",52,"",0
"SBAN","colisão",53,"",0
"SBAQ","colisão",1,"",0
"SBAQ","colisão",2,"",0
"SBAQ","colisão",3,"",0
"SBAQ","colisão",4,"",0
"SBAQ","colisão",5,"",0
"SBAQ","colisão",6,"",0
"SBAQ","colisão",7,"",0
"SBAQ","colisão",8,"",0
"SBAQ","colisão",9,"",0
"SBAQ","colisão",10,"",0
"SBAQ","colisão",11,"",0
"SBAQ","colisão",12,"",0
"SBAQ","colisão",13,"",0
"SBAQ","colisão",14,"",0
"SBAQ","colisão",15,"",0
"SBAQ","colisão",16,"",0
"SBAQ","colisão",17,"",0
"SBAQ","colisão",18,"",0
"SBAQ","colisão",19,"",0
"SBAQ","colisão",20,"",0
"SBAQ","colisão",21,"",0
"SBAQ","colisão",22,"",0
"SBAQ","colisão",23,"",0
"SBAQ","colisão",24,"",0
"SBAQ","colisão",25,"",0
"SBAQ","colisão",26,"",0
"SBAQ","colisão",27,"",0
"SBAQ","colisão",28,"0 Não identificada",1
"SBAQ","colisão",29,"",0
"SBAQ","colisão",30,"",0
"SBAQ","colisão",31,"",0
"SBAQ","colisão",32,"",0
"SBAQ","colisão",33,"",0
"SBAQ","colisão",34,"",0
"SBAQ","colisão",35,"",0
"SBAQ","colisão",36,"",0
"SBAQ","colisão",37,"",0
"SBAQ","colisão",38,"",0
"SBAQ","colisão",39,"",0
"SBAQ","colisão",40,"",0
"SBAQ","colisão",41,"",0
"SBAQ","colisão",42,"",0
"SBAQ","colisão",43,"",0
"SBAQ","colisão",44,"",0
"SBAQ","colisão",45,"",0
"SBAQ","colisão",46,"",0
"SBAQ","colisão",47,"",0
"SBAQ","colisão",48,"",0
"SBAQ","colisão",49,"",0
"SBAQ","colisão",50,"",0
"SBAQ","colisão",51,"",0
"SBAQ","colisão",52,"",0
"SBAQ","colisão",53,"",0
"SBAR","avistamento",1,"",0
"SBAR","avistamento",2,"",0
"SBAR","avistamento",3,"",0
"SBAR","avistamento",4,"",0
"SBAR","avistamento",5,"",0
"SBAR","avistamento",6,"",0
"SBAR","avistamento",7,"",0
"SBAR","avistamento",8,"",0
"SBAR","avistamento",9,"",0
"SBAR","avistamento",10,"",0
"SBAR","avistamento",11,"Corujas / Família Strigidae",1
"SBAR","avistamento",12,"",0
"SBAR","avistamento",13,"",0
"SBAR","avistamento",14,"",0
"SBAR","avistamento",15,"",0
"SBAR","avistamento",16,"",0
"SBAR","avistamento",17,"",0
"SBAR","avistamento",18,"",0
"SBAR","avistamento",19,"",0
"SBAR","avistamento",20,"",0
"SBAR","avistamento",21,"",0
"SBAR","avistamento",22,"",0
"SBAR","avistamento",23,"",0
"SBAR","avistamento",24,"",0
"SBAR","avistamento",25,"",0
"SBAR","avistamento",26,"",0
"SBAR","avistamento",27,"",0
"SBAR","avistamento",28,"",0
"SBAR","avistamento",29,"",0
"SBAR","avistamento",30,"",0
"SBAR","avistamento",31,"",0
"SBAR","avistamento",32,"",0
"SBAR","avistamento",33,"",0
"SBAR","avistamento",34,"",0
"SBAR","avistamento",35,"",0
"SBAR","avistamento",36,"",0
"SBAR","avistamento",37,"",0
"SBAR","avistamento",38,"",0
"SBAR","avistamento",39,"",0
"SBAR","avistamento",40,"",0
"SBAR","avistamento",41,"",0
"SBAR","avistamento",42,"",0
"SBAR","avistamento",43,"",0
"SBAR","avistamento",44,"",0
"SBAR","avistamento",45,"Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae",3
"SBAR","avistamento",46,"Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae",5
"SBAR","avistamento",47,"",0
"SBAR","avistamento",48,"Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae",3
"SBAR","avistamento",49,"Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae,Urubus / Família Cathartidae",6
"SBAR","avistamento",50,"Urubus / Família Cathartidae",1
"SBAR","avistamento",51,"",0
"SBAR","avistamento",52,"",0
"SBAR","avistamento",53,"",0
"SBAR","colisão",1,"",0
"SBAR","colisão",2,"",0
"SBAR","colisão",3,"",0
"SBAR","colisão",4,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBAR","colisão",5,"",0
"SBAR","colisão",6,"Carcará/carancho (Caracara plancus)",1
"SBAR","colisão",7,"0 Não identificada",1
"SBAR","colisão",8,"",0
"SBAR","colisão",9,"",0
"SBAR","colisão",10,"Coruja -buraqueira (Athene cunicularia)",1
"SBAR","colisão",11,"",0
"SBAR","colisão",12,"Coruja -buraqueira (Athene cunicularia)",1
"SBAR","colisão",13,"",0
"SBAR","colisão",14,"Coruja -buraqueira (Athene cunicularia)",1
"SBAR","colisão",15,"",0
"SBAR","colisão",16,"",0
"SBAR","colisão",17,"",0
"SBAR","colisão",18,"",0
"SBAR","colisão",19,"",0
"SBAR","colisão",20,"",0
"SBAR","colisão",21,"",0
"SBAR","colisão",22,"",0
"SBAR","colisão",23,"",0
"SBAR","colisão",24,"",0
"SBAR","colisão",25,"",0
"SBAR","colisão",26,"",0
"SBAR","colisão",27,"0 Não identificada",1
"SBAR","colisão",28,"",0
"SBAR","colisão",29,"Coruja -buraqueira (Athene cunicularia)",1
"SBAR","colisão",30,"",0
"SBAR","colisão",31,"Carcará/carancho (Caracara plancus)",1
"SBAR","colisão",32,"Garça-branca-grande (Ardea alba)",1
"SBAR","colisão",33,"",0
"SBAR","colisão",34,"",0
"SBAR","colisão",35,"",0
"SBAR","colisão",36,"Andorinha-do-rio/ribeirinha (Tachycineta albiventer)",1
"SBAR","colisão",37,"",0
"SBAR","colisão",38,"",0
"SBAR","colisão",39,"Pombo-doméstico (Columba livia)",1
"SBAR","colisão",40,"",0
"SBAR","colisão",41,"",0
"SBAR","colisão",42,"Garça-cinzenta/socó/savacu (Nycticorax nycticorax),0 Não identificada",2
"SBAR","colisão",43,"",0
"SBAR","colisão",44,"",0
"SBAR","colisão",45,"",0
"SBAR","colisão",46,"0 Não identificada",1
"SBAR","colisão",47,"",0
"SBAR","colisão",48,"",0
"SBAR","colisão",49,"",0
"SBAR","colisão",50,"",0
"SBAR","colisão",51,"",0
"SBAR","colisão",52,"",0
"SBAR","colisão",53,"",0
"SBAT","avistamento",1,"",0
"SBAT","avistamento",2,"",0
"SBAT","avistamento",3,"",0
"SBAT","avistamento",4,"",0
"SBAT","avistamento",5,"",0
"SBAT","avistamento",6,"",0
"SBAT","avistamento",7,"",0
"SBAT","avistamento",8,"",0
"SBAT","avistamento",9,"",0
"SBAT","avistamento",10,"",0
"SBAT","avistamento",11,"",0
"SBAT","avistamento",12,"",0
"SBAT","avistamento",13,"",0
"SBAT","avistamento",14,"",0
"SBAT","avistamento",15,"",0
"SBAT","avistamento",16,"Urubus / Família Cathartidae",1
"SBAT","avistamento",17,"",0
"SBAT","avistamento",18,"",0
"SBAT","avistamento",19,"",0
"SBAT","avistamento",20,"",0
"SBAT","avistamento",21,"",0
"SBAT","avistamento",22,"",0
"SBAT","avistamento",23,"",0
"SBAT","avistamento",24,"",0
"SBAT","avistamento",25,"Urubus / Família Cathartidae",1
"SBAT","avistamento",26,"",0
"SBAT","avistamento",27,"",0
"SBAT","avistamento",28,"",0
"SBAT","avistamento",29,"",0
"SBAT","avistamento",30,"",0
"SBAT","avistamento",31,"",0
"SBAT","avistamento",32,"",0
"SBAT","avistamento",33,"",0
"SBAT","avistamento",34,"",0
"SBAT","avistamento",35,"",0
"SBAT","avistamento",36,"",0
"SBAT","avistamento",37,"",0
"SBAT","avistamento",38,"",0
"SBAT","avistamento",39,"",0
"SBAT","avistamento",40,"",0
"SBAT","avistamento",41,"",0
"SBAT","avistamento",42,"",0
"SBAT","avistamento",43,"",0
"SBAT","avistamento",44,"",0
"SBAT","avistamento",45,"",0
"SBAT","avistamento",46,"",0
"SBAT","avistamento",47,"",0
"SBAT","avistamento",48,"",0
"SBAT","avistamento",49,"",0
"SBAT","avistamento",50,"",0
"SBAT","avistamento",51,"",0
"SBAT","avistamento",52,"",0
"SBAT","avistamento",53,"",0
"SBAT","colisão",1,"",0
"SBAT","colisão",2,"",0
"SBAT","colisão",3,"",0
"SBAT","colisão",4,"",0
"SBAT","colisão",5,"",0
"SBAT","colisão",6,"",0
"SBAT","colisão",7,"",0
"SBAT","colisão",8,"",0
"SBAT","colisão",9,"",0
"SBAT","colisão",10,"",0
"SBAT","colisão",11,"",0
"SBAT","colisão",12,"",0
"SBAT","colisão",13,"",0
"SBAT","colisão",14,"",0
"SBAT","colisão",15,"",0
"SBAT","colisão",16,"",0
