"","Aeroporto","week","sum_ObxAb","sum_ObxAbxMassxFlock","sum_ObxAbxS","Voos_como_Destino","Voos_como_Origem","Total_Voos","prod_ObxAb","prod_ObxAbxMassxFlock","prod_ObxAbxS","norm_sum_ObxAb","norm_sum_ObxAbxMassxFlock","norm_sum_ObxAbxS","norm_Total_Voos","rel_product_ObxAb","rel_product_ObxAbxMassxFlock","rel_product_ObxAbxS","real_mul_ObxAb","real_mul_ObxAbxMassxFlock","real_mul_ObxAbxS","real_product_ObxAb","real_product_ObxAbxMassxFlock","real_product_ObxAbxS","rel_product_ObxAb_norm","rel_product_ObxAbxMassxFlock_norm","rel_product_ObxAbxS_norm"
"588","SBCG",17,6.04054564718817,10275.1892504232,267.95370084666,13,14,27,163.09473247408,277430.109761427,7234.74992285981,0.470910948777743,0.575437130020801,0.572254156096216,0.0271493212669683,0.0127849126364998,0.0156227275118769,0.015536311930214,163.09473247408,277430.109761427,7234.74992285981,0.0273215664022292,0.0368144229062588,0.0377830442900353,0.0239460811651986,0.03504802760729,0.0347670564109563
"589","SBCG",18,6.19333239676876,9983.78941529499,257.782114246964,10,11,21,130.059980332144,209659.577721195,5413.42439918624,0.507653185183909,0.528148161318413,0.510229792886486,0,0,0,0,130.059980332144,209659.577721195,5413.42439918624,0,0,0,0,0,0
"590","SBCG",19,6.48543894909301,10344.3958362334,268.079824346977,10,15,25,162.135973727325,258609.895905835,6701.99560867443,0.577899119669389,0.586668118085493,0.573023232750708,0.0180995475113122,0.0104597125732016,0.0106184274766605,0.0103714612262572,162.135973727325,258609.895905835,6701.99560867443,0.0265286199121015,0.0265908745408033,0.0267311595023155,0.0195909923957921,0.0238213806817714,0.0232091875560304
"591","SBCG",20,6.25431170493041,10067.8616907938,262.825761012039,13,14,27,168.866416033121,271832.265651433,7096.29554732506,0.522317520687546,0.541791584291022,0.540984973092883,0.0271493212669683,0.0141805661725126,0.0147092737816567,0.0146873748351009,168.866416033121,271832.265651433,7096.29554732506,0.0320950678026166,0.0337735525718446,0.0349108351571904,0.0265601336661476,0.0329987854675675,0.0328673105763126
"592","SBCG",21,5.93605693065075,9540.09057885141,247.874814432691,14,14,28,166.209594058221,267122.536207839,6940.49480411533,0.445783448288772,0.456143795287685,0.44981699925933,0.0316742081447964,0.0141198377286036,0.0144479935158995,0.0142475972616077,166.209594058221,267122.536207839,6940.49480411533,0.029897729142582,0.0312151253868908,0.0316787789955657,0.0264463895766708,0.0324126293075412,0.0318831792216777
"593","SBCG",22,5.77399249249928,9562.06403505009,248.878327680862,14,14,28,161.67178978998,267737.792981403,6968.59317506415,0.406810108546031,0.459709693264276,0.455936228504476,0.0316742081447964,0.0128853880534942,0.0145609405106332,0.0144414190024042,161.67178978998,267737.792981403,6968.59317506415,0.0261447141327409,0.0315493462108389,0.0322616742442391,0.0241342711480996,0.0326660146006391,0.0323169122354206
"594","SBCG",23,5.47614388099021,9174.23321950982,238.71434152816,14,14,28,153.332028667726,256878.530146275,6684.00156278849,0.335183320703792,0.39677170536241,0.393958211347083,0.0316742081447964,0.010616666266636,0.0125674295816148,0.0124783143865592,153.332028667726,256878.530146275,6684.00156278849,0.0192472706071655,0.0256503591079299,0.0263578765148273,0.0198849659245142,0.0281937720922452,0.0279238896682718
"595","SBCG",24,5.3665577598543,8940.64071339736,230.820809992309,18,18,36,193.196079354755,321863.065682305,8309.54915972311,0.308829993725744,0.358863829725473,0.345824986290358,0.0678733031674208,0.0209613117913401,0.0243572735107787,0.0234722841373546,193.196079354755,321863.065682305,8309.54915972311,0.0522170444752384,0.0609513682865209,0.0600795457344306,0.0392604382803106,0.0546431084965857,0.0525261226964927
"596","SBCG",25,6.03720922061485,9855.23735310382,256.19504008624,23,24,47,283.748833368898,463196.15559588,12041.1668840533,0.470108603193162,0.507286466448509,0.500552122326376,0.117647058823529,0.0553068944933131,0.0596807607586481,0.0588884849795737,283.748833368898,463196.15559588,12041.1668840533,0.127109178403539,0.137726568157135,0.137491230751325,0.103589552950949,0.133887821387334,0.131780263452292
"597","SBCG",26,7.06191488721794,10914.369226143,282.052858104263,27,27,54,381.343403909769,589375.938211722,15230.8543376302,0.716530350840909,0.679164580153732,0.658228083774599,0.149321266968326,0.106993219808824,0.101413715588566,0.0982874514233565,381.343403909769,589375.938211722,15230.8543376302,0.207825283917904,0.206270162837516,0.203660677543454,0.200397796880797,0.227511534141768,0.219947010814033
