Aeroporto_,week_,Ob_mean,Ab_mean,ObxAbxS_mean,Total_Voos,contagem_avistamento,contagem_colisão,lag_colisao
SBCB,5,0.30730784817290385,1.51722225035555,39.073761101848184,34,0,0,0.0
SBCB,6,0.30822739470945515,1.7904149421822388,43.631697272306944,20,1,0,0.0
SBCB,7,0.3152443154302383,1.9431087029444536,46.53326318450112,16,1,0,0.0
SBCB,8,0.3186663001795404,1.381123626265553,39.18568768030503,32,2,0,0.0
SBCB,9,0.31921262191589794,1.4292499560392204,42.12093662529298,34,0,1,0.0
SBCB,10,0.309948775258512,1.666195664672925,46.70735024835366,14,4,0,1.0
SBCB,11,0.3005862348233605,1.5322716638189602,46.219745247848984,14,3,0,0.0
SBCB,12,0.2818489919408371,1.262391963782687,41.96491154845233,4,1,0,0.0
SBCB,13,0.271403644870088,1.1329044712323546,38.23765588715776,0,0,0,0.0
SBCB,14,0.2748847916403761,1.1664554454620808,38.93244579350496,0,1,0,0.0
SBCB,15,0.27346403297681493,1.1454310646653767,38.49479840634368,2,1,0,0.0
SBCB,16,0.2890975525854931,1.1871310144245706,41.9581972965482,0,1,0,0.0
SBCB,17,0.29093546854467905,1.1702456434480464,41.94596292600273,4,0,0,0.0
SBCB,18,0.3071467324300015,1.1650506988856557,42.332666410109645,2,0,0,0.0
SBCB,19,0.2973885167545328,1.1067682781964925,41.6800539411746,0,1,0,0.0
SBCB,20,0.2847138145094817,1.0397613386821345,38.21860239876426,2,4,0,0.0
SBCB,21,0.2851968109549488,1.0425506072953195,37.726496616293076,2,0,0,0.0
SBCB,22,0.28230721193622016,1.0422816867622189,36.82236347358756,1,3,0,0.0
SBCB,23,0.2857850533285732,1.1111193090250902,37.43551608179655,2,0,0,0.0
SBCB,24,0.296134490212206,1.2634650354112296,41.804643811884596,0,1,0,0.0
SBCB,25,0.2696703145213059,1.373854901246647,44.86976033714606,0,0,0,0.0
SBCB,26,0.2918437337125231,1.5511967242220406,47.526834176382316,1,1,0,0.0
SBCB,27,0.2815664075599974,1.473283406467104,47.36227398483747,1,1,0,0.0
SBCB,28,0.27963904827322916,1.4487771872377586,46.6953108692557,0,1,0,0.0
SBCB,29,0.28470688436394853,1.4612905012559922,47.30181741349945,2,4,0,0.0
SBCB,30,0.2820501352627694,1.3945988078344962,45.51237509693232,0,2,0,0.0
SBCB,31,0.2797091989080747,1.312733089028228,45.05255155251693,0,3,0,0.0
SBCB,32,0.2757181130975053,1.212274672524815,42.38070850754793,0,2,0,0.0
SBCB,33,0.2768648419352204,1.1745976159591682,41.48691389804832,0,6,0,0.0
SBCB,34,0.27631421624027525,1.215722147031023,43.73252374588204,0,8,0,0.0
SBCB,35,0.2816098565421152,1.3191806650838718,46.19945082294993,0,2,0,0.0
SBCB,36,0.30444765270661905,1.3902055719779989,47.64187968851317,2,6,0,0.0
SBCB,37,0.31387750222812066,1.461027996409512,47.87452706013094,0,2,0,0.0
SBCB,38,0.3236373684442171,1.4644596650375707,46.768495923899444,2,2,0,0.0
SBCB,39,0.3306031015111446,1.446810064350789,44.73000676687428,0,3,0,0.0
SBCB,40,0.3459612615406294,1.4722614131727936,43.4628969643306,0,3,0,0.0
SBCB,41,0.33405197059155595,1.3605848531947826,39.51202426547302,0,1,0,0.0
SBCB,42,0.3378011006984762,1.334204128611656,37.79207020677114,2,0,0,0.0
SBCB,43,0.34261866981022354,1.386196700646012,40.55102660266993,2,0,0,0.0
SBCB,44,0.35277147376961054,1.3751706110272883,44.40998655722397,0,1,0,0.0
SBCB,45,0.3637410546983793,1.3592429298042286,45.675796454528296,2,2,0,0.0
SBCB,46,0.36264380163571336,1.3335134947655638,44.903910335218654,0,0,0,0.0
SBCB,47,0.3679031660589038,1.2150502153363418,38.725899783394894,0,0,0,0.0
SBCB,48,0.361035508981435,1.1835718476039176,36.01554210676344,0,0,0,0.0
SBCB,49,0.3355201361502565,1.159581628650501,35.89366672561517,1,1,0,0.0
SBCB,50,0.3272999035128169,1.1850893522034724,35.72516064767286,10,1,0,0.0
SBCB,51,0.31922476904695957,1.2024389093511856,36.67457210091862,38,0,0,0.0
SBCB,52,0.31110221949707345,1.1082410796327797,33.81236596020363,32,4,0,0.0
SBCC,1,0.07548489514941231,0.1766426436570602,5.689786149174383,0,0,0,0.0
SBCC,2,0.0769612641887402,0.18724393707848183,6.2724070845078845,0,0,0,0.0
SBCC,3,0.07467600941852814,0.17883297384256,5.967895292757418,0,0,0,0.0
SBCC,4,0.0767422272724329,0.17953392494396822,5.762175426537601,0,0,0,0.0
SBCC,5,0.07851792996534207,0.1857214648933976,5.9090146872180505,0,0,0,0.0
SBCC,6,0.07575811188838445,0.18543523453451938,5.966633651977322,0,0,0,0.0
SBCC,7,0.07824213135062279,0.22058004456975974,7.648718435638278,0,0,0,0.0
SBCC,8,0.0804162965742526,0.2567279542145,10.02111747355214,0,0,0,0.0
SBCC,9,0.08282645812262178,0.2753570970626696,11.413609056098213,0,0,0,0.0
SBCC,10,0.08170178446163934,0.27284393022100656,11.625768474494386,0,0,0,0.0
SBCC,11,0.0794175036641118,0.25459062205810185,10.246481488741036,0,0,0,0.0
SBCC,12,0.07350828093608482,0.21978755372379574,7.959620676445744,0,0,0,0.0
SBCC,13,0.07296752139179279,0.21703955937331157,6.987252221155436,0,0,0,0.0
SBCC,14,0.07513232624121745,0.22688317536690952,6.808860815419217,0,0,0,0.0
SBCC,15,0.08941858271619603,0.28684527609957305,6.546637148022915,0,0,0,0.0
SBCC,16,0.09481618630908811,0.29541473002791874,7.27299907732504,0,0,0,0.0
SBCC,17,0.0967087644296405,0.2967966844699059,7.972326675325859,0,0,0,0.0
SBCC,18,0.10981414013406295,0.35848846101691106,9.633840946736813,0,0,0,0.0
SBCC,19,0.11766541067080687,0.4116890133563469,11.073045133457345,0,0,0,0.0
SBCC,20,0.11997471822624561,0.46274983399996045,11.194030640654933,0,0,0,0.0
SBCC,21,0.11880146697455767,0.4680560036919486,10.870065145203698,0,0,0,0.0
SBCC,22,0.1122080041298516,0.43349453342230415,10.144743443205028,0,0,0,0.0
SBCC,23,0.10323560805605775,0.3980660088003201,8.738492953424709,0,0,0,0.0
SBCC,24,0.09735609509846223,0.4086182616237142,8.891453819773831,0,0,0,0.0
SBCC,25,0.09141197467876155,0.44715331698522354,7.973707748636076,0,0,0,0.0
SBCC,26,0.09069596169652096,0.47108750317922227,7.2496493548908205,0,0,0,0.0
SBCC,27,0.10325630386573043,0.47440757971127145,9.221291662711291,0,0,0,0.0
SBCC,28,0.11821834738033672,0.48507573640695756,11.019805146354404,0,0,0,0.0
SBCC,29,0.12506159893308064,0.45240281143252137,11.494933423112029,0,0,0,0.0
SBCC,30,0.12424611530930196,0.4153827574765527,10.77126466742885,0,0,0,0.0
SBCC,31,0.11323983043489054,0.36517318972631946,8.522265559558017,0,0,0,0.0
SBCC,32,0.11089269823368336,0.31712333607022714,7.694452521470924,0,0,0,0.0
SBCC,33,0.1111241098704356,0.31355513717719496,7.648392572261442,0,0,2,0.0
SBCC,34,0.11533168704637618,0.33487393765049284,8.45727513197862,0,0,0,2.0
SBCC,35,0.12301285874122884,0.38516859034145323,10.210487286001172,0,0,0,0.0
SBCC,36,0.14511731900741434,1.093689104579926,15.342121523195688,0,0,0,0.0
SBCC,37,0.1588800015344248,2.062462587451367,20.907856829391843,0,0,0,0.0
SBCC,38,0.15970163417629243,1.6440205718553864,19.03077680714103,0,0,0,0.0
SBCC,39,0.15696976261217485,0.8121358461389908,15.733773223577412,0,0,0,0.0
SBCC,40,0.15432103069129854,0.5128765067040982,13.702426199551127,0,0,0,0.0
SBCC,41,0.1345551252336705,0.4218988307733451,12.176814267281197,0,0,0,0.0
SBCC,42,0.12876307696290717,0.4260500179997329,11.560417667130345,0,0,0,0.0
SBCC,43,0.12918277478661222,0.5393515353401498,11.532915634365894,0,0,0,0.0
SBCC,44,0.12400480780003838,0.989466149323419,13.326412921663715,0,0,0,0.0
SBCC,45,0.11595351567333623,1.4378657940620965,14.175489147853982,0,0,0,0.0
SBCC,46,0.10668465781607916,0.9114029816633863,11.752707167596212,0,0,0,0.0
SBCC,47,0.09117426645935951,0.28768891193102536,9.522207460679684,0,0,0,0.0
SBCC,48,0.07792363735017298,0.19856414714653647,6.513375998590954,0,0,0,0.0
SBCC,49,0.07425402609270258,0.16571046806839387,4.942997877573164,0,0,0,0.0
SBCC,50,0.07180103565888858,0.14985672419805499,4.093041153722541,0,0,0,0.0
SBCC,51,0.07246722252167002,0.14848834324084365,4.069172168886391,0,0,0,0.0
SBCC,52,0.07331161538630011,0.1650922282442681,5.102811472258899,0,0,0,0.0
SBCD,1,0.20239164377106175,0.44187409325638755,14.719791455030753,0,0,0,0.0
SBCD,2,0.20140642526484465,0.4356901843104841,14.464979136532607,0,0,0,0.0
SBCD,3,0.20467348504316452,0.44643508723464215,14.999624163161881,0,0,0,0.0
